#clorosis
51,137,152
52,138,153
50,136,151
49,135,150
47,136,152
47,134,151
49,135,152
50,136,153
48,125,151
47,124,150
48,124,150
46,122,148
51,125,152
49,123,150
50,124,151
51,122,150
51,122,152
50,121,151
47,121,150
46,121,150
63,74,120
62,73,119
67,75,124
68,74,124
66,72,122
67,73,123
67,73,121
68,74,122
66,72,120
69,73,121
55,105,168
58,106,168
59,105,165
56,105,164
57,106,165
58,107,166
56,106,165
56,108,166
55,107,165
61,146,166
61,143,164
59,141,162
56,141,161
59,144,164
58,143,163
55,140,160
57,142,162
56,143,162
56,141,162
57,142,163
57,144,164
56,144,166
49,140,161
56,140,164
52,136,160
52,140,162
57,145,167
54,138,162
55,140,161
53,139,152
54,140,153
54,137,151
55,138,152
55,138,154
54,137,153
53,136,152
51,134,150
51,137,154
53,136,154
54,137,155
52,135,153
52,138,155
50,127,147
49,126,146
50,125,146
49,124,145
48,123,144
46,121,142
47,122,143
47,122,145
48,123,146
50,122,146
48,119,141
50,121,143
51,121,146
49,119,144
64,75,120
63,74,119
65,76,121
67,75,121
66,74,120
65,73,119
70,72,121
70,74,122
53,115,166
54,114,168
53,113,167
54,110,167
52,108,165
54,108,168
57,107,168
58,108,169
59,109,170
60,108,170
59,107,169
58,110,170
59,111,169
66,149,163
64,147,161
67,149,163
66,148,162
65,147,161
65,148,162
65,148,164
66,147,164
69,148,165
68,147,164
67,145,165
64,145,164
64,147,165
50,138,160
54,140,165
55,141,166
53,139,164
50,136,161
53,141,165
52,140,164
54,141,161
56,144,164
55,143,163
50,137,154
49,136,153
51,138,155
48,134,149
47,135,147
49,125,149
48,124,148
49,127,150
48,126,149
50,127,153
53,130,156
49,126,152
47,124,152
45,125,152
46,126,153
48,125,153
49,124,153
51,125,154
50,125,154
49,124,155
63,76,121
62,75,120
66,77,123
67,78,124
66,74,123
62,72,121
50,106,167
51,105,167
54,104,167
55,105,166
55,105,164
57,107,166
59,108,167
60,106,166
58,104,164
55,104,163
59,144,165
53,138,159
53,140,160
47,138,159
48,139,160
50,142,163
51,139,161
50,136,159
54,139,160
52,138,151
53,136,150
52,135,151
51,134,152
50,133,151
47,125,147
46,124,146
47,123,146
46,122,145
49,124,147
51,123,147
52,122,147
50,120,145
50,120,146
49,119,145
49,121,146
67,75,122
65,71,119
69,75,123
52,106,168
56,104,168
58,106,170
57,105,169
57,107,170
58,108,171
57,108,171
56,110,172
64,147,163
63,146,162
65,143,165
63,144,165
62,144,165
58,142,166
56,143,163
54,142,162
50,138,158
54,145,164
53,141,161
53,143,151
52,140,150
53,141,151
55,141,154
46,134,148
52,140,154
52,140,152
51,139,151
50,136,149
51,137,150
56,139,153
47,128,145
49,128,145
48,126,146
47,125,145
48,125,145
47,124,144
70,73,124
69,72,123
69,73,120
70,74,121
68,72,119
54,122,167
53,121,168
52,118,166
51,117,165
55,117,166
56,116,168
55,115,167
55,112,165
55,110,164
54,109,163
59,111,168
60,111,168
60,110,169
59,109,168
59,110,167
63,146,160
70,153,167
68,151,165
65,151,164
64,150,163
66,149,165
67,150,166
69,152,168
65,151,166
62,148,163
61,147,162
50,138,162
57,145,169
47,137,161
54,142,166
57,143,168
53,137,161
49,138,152
44,125,146
45,126,147
48,129,150
46,128,149
47,128,149
45,125,148
46,126,149
49,129,154
48,128,153
49,126,154
50,127,155
51,124,156
61,73,121
64,76,124
48,104,165
56,108,168
55,107,167
56,106,167
57,105,167
54,102,164
51,138,158
61,145,169
47,123,147
50,124,149
48,122,147
50,122,147
52,124,149
53,123,149
52,122,148
51,121,147
53,120,147
52,119,146
50,119,148
49,120,148
48,119,147
46,120,147
53,103,166
54,103,169
55,103,167
58,104,166
59,105,167
55,109,169
65,148,166
63,146,164
61,144,162
62,145,163
59,145,162
61,147,164
63,145,166
64,146,167
63,145,167
60,145,166
56,140,166
55,143,153
54,141,151
54,140,155
53,139,154
56,139,155
48,127,144
47,126,143
50,122,144
